epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,74.6085,1.16523,0.95369,0.93872,0.63604,0.6815,0.63779,0.38432,1.28034,0.8707,0.93704,0.000517059,0.000517059,0.000517059
56,75.9178,1.10359,0.89962,0.92135,0.70659,0.59592,0.62727,0.38914,1.1981,0.84852,0.92228,0.00050606,0.00050606,0.00050606
57,77.2307,1.16557,0.91461,0.94623,0.73129,0.54829,0.62069,0.38509,1.18578,0.84756,0.92036,0.000495062,0.000495062,0.000495062
58,78.814,1.19477,0.91836,0.92888,0.57697,0.62888,0.61196,0.37841,1.2182,0.87487,0.92988,0.000484063,0.000484063,0.000484063
59,80.1183,1.16722,0.86824,0.92487,0.61358,0.64888,0.60738,0.37727,1.2369,0.83853,0.93413,0.000473064,0.000473064,0.000473064
60,81.448,1.15025,0.86786,0.92956,0.59072,0.65895,0.59785,0.37544,1.15682,0.81046,0.91937,0.000462065,0.000462065,0.000462065
61,82.6597,1.09841,0.90835,0.93782,0.59165,0.6789,0.59365,0.37071,1.14904,0.80697,0.9186,0.000451066,0.000451066,0.000451066
62,83.9669,1.16083,0.89641,0.932,0.60811,0.63219,0.59853,0.35806,1.20885,0.83229,0.92726,0.000440067,0.000440067,0.000440067
63,85.2335,1.13497,0.8824,0.93002,0.60417,0.63375,0.59274,0.3644,1.20182,0.83724,0.92962,0.000429068,0.000429068,0.000429068
64,86.523,1.0969,0.87652,0.9156,0.64933,0.67203,0.6129,0.37589,1.16381,0.81753,0.92385,0.000418069,0.000418069,0.000418069
65,87.8181,1.14515,0.9115,0.92893,0.68705,0.6666,0.6294,0.38524,1.17347,0.83372,0.92552,0.00040707,0.00040707,0.00040707
66,89.1779,1.14124,0.85488,0.92612,0.71322,0.66626,0.66427,0.40471,1.2268,0.83141,0.93558,0.000396071,0.000396071,0.000396071
67,90.4825,1.07442,0.86021,0.92488,0.78107,0.59365,0.69636,0.4013,1.33162,0.83767,0.95071,0.000385073,0.000385073,0.000385073
68,91.8074,1.13767,0.8581,0.92505,0.72378,0.666,0.66916,0.40328,1.24934,0.81665,0.93668,0.000374074,0.000374074,0.000374074
69,93.1044,1.14846,0.90049,0.93127,0.75567,0.65224,0.66834,0.40527,1.23507,0.81515,0.93306,0.000363075,0.000363075,0.000363075
